ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
10225913,HY413294,09/06/2015 09:30:00 PM,040XX N FRANCISCO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1724,17,33,16,08B,1156328,1926728,2015,02/10/2018 03:50:01 PM,41.95472834,-87.7007074,"(41.954728339, -87.700707396)",2,21538,16,116,20,39,1,13
10225914,HY413211,09/06/2015 08:45:00 PM,044XX N RICHMOND ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,FALSE,FALSE,1724,17,33,14,04A,1155916,1929321,2015,02/10/2018 03:50:01 PM,41.96185203,-87.70215177,"(41.961852026, -87.702151769)",2,21849,14,258,20,20,1,13
10225915,HY413321,09/06/2015 06:10:00 PM,009XX W ADDISON ST,560,ASSAULT,SIMPLE,CTA STATION,FALSE,FALSE,1923,19,44,6,08A,1169188,1924102,2015,02/10/2018 03:50:01 PM,41.94725226,-87.65350869,"(41.947252263, -87.65350869)",38,21186,57,727,25,53,5,12
10225916,HY413228,09/06/2015 08:30:00 PM,081XX S LANGLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,631,6,6,44,08B,1182311,1851179,2015,02/10/2018 03:50:01 PM,41.7468514,-87.60753804,"(41.746851395, -87.607538044)",31,21546,40,11,32,61,20,235
10225917,HY413104,09/06/2015 06:43:00 PM,081XX S CRANDON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,TRUE,TRUE,414,4,8,46,04A,1192936,1851405,2015,02/10/2018 03:50:01 PM,41.74721903,-87.56859859,"(41.747219031, -87.568598588)",9,21202,42,507,35,25,19,222
10225919,HY413264,09/06/2015 09:50:00 PM,012XX E 78TH ST,810,THEFT,OVER $500,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,411,4,8,45,6,1185717,1853527,2015,02/10/2018 03:50:01 PM,41.75321503,-87.5949839,"(41.753215027, -87.594983903)",9,21546,41,133,35,61,19,224
10225921,HY413307,09/06/2015 10:24:00 PM,050XX N WINTHROP AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,TRUE,FALSE,2033,20,48,3,26,1167956,1933871,2015,02/10/2018 03:50:01 PM,41.97408548,-87.65775406,"(41.974085476, -87.657754064)",40,22616,31,634,16,15,2,14
10225922,HY412787,09/03/2015 10:00:00 AM,092XX S BURLEY AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,424,4,10,46,5,1199279,1844299,2015,02/10/2018 03:50:01 PM,41.72756259,-87.54559493,"(41.727562592, -87.545594933)",47,21202,42,510,47,25,19,239
10225923,HY411263,09/05/2015 07:45:00 AM,093XX S KIMBARK AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,413,4,8,47,08A,1186501,1843256,2015,02/10/2018 03:50:01 PM,41.72501184,-87.59243492,"(41.725011842, -87.592434922)",9,21546,43,472,35,61,19,246
10225926,HY413285,09/06/2015 09:45:00 PM,083XX S BIRKHOFF AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,PARK PROPERTY,TRUE,FALSE,622,6,21,71,26,1173371,1849697,2015,02/10/2018 03:50:01 PM,41.74298686,-87.64034008,"(41.742986856, -87.640340078)",18,21554,70,529,13,59,20,236
10225928,HY413270,09/06/2015 09:35:00 PM,074XX N WESTERN AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,DEPARTMENT STORE,FALSE,FALSE,2411,24,50,2,3,1159015,1949534,2015,02/10/2018 03:50:01 PM,42.01725411,-87.69019998,"(42.017254106, -87.690199975)",42,22528,20,359,27,12,11,35
10225929,HY413248,08/07/2015 11:00:00 PM,078XX S SOUTH SHORE DR,265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,APARTMENT,FALSE,FALSE,421,4,7,43,2,1197688,1854219,2015,02/10/2018 03:50:01 PM,41.75482364,-87.55109257,"(41.754823635, -87.551092573)",43,22538,39,421,37,24,19,225
10225930,HY413324,09/06/2015 10:46:00 PM,089XX S THROOP ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2222,22,21,73,08B,1169228,1845462,2015,02/10/2018 03:50:01 PM,41.73145597,-87.65564237,"(41.731455968, -87.655642365)",18,21554,72,195,13,59,9,244
10225931,HY413163,09/06/2015 08:23:00 PM,043XX S MOZART ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,922,9,12,58,04B,1158089,1875692,2015,02/10/2018 03:50:01 PM,41.81464496,-87.69562786,"(41.814644957, -87.695627861)",49,22248,55,156,3,56,23,115
